Crime_Year,PrimaryType,Total_Crime,Total_Arrest
2021,"Deceptive Practice",17957,241
2021,Gambling,13,12
2021,Homicide,780,280
2021,"Human Trafficking",11,2
2021,"Interference With Officer",314,265
2021,Intimidation,124,4
2021,Kidnapping,87,5
2021,"Liquor Law Violation",184,184
2021,"Motor Vehicle Theft",10605,379
2021,Narcotics,5419,5357
2021,Non-criminal,4,1
2021,Obscenity,51,36
2021,"Offense Involving Children",1982,199
2021,"Other Narcotic Violation",2,1
2021,"Other Offense",13962,1487
2021,Prostitution,95,94
2021,"Public Indecency",4,4
2021,"Public Peace Violation",603,242
2021,Robbery,7921,503
2021,"Sex Offense",1125,89
2021,Stalking,370,22
2021,Theft,40823,1553
2021,"Weapons Violation",8979,5567
2022,Arson,422,42
2022,Assault,20815,2010
2022,Battery,40968,5972
2022,Burglary,7595,370
2022,"Concealed Carry Violation",177,170
2022,"Criminal Damage",27250,899
2022,"Criminal Sexual Assault",1611,89
2022,"Criminal Trespass",4223,1246
2022,"Deceptive Practice",17162,305
2022,Gambling,9,8
2022,Homicide,688,295
2022,"Human Trafficking",12,0
2022,"Interference With Officer",392,346
2022,Intimidation,184,3
2022,Kidnapping,118,11
2022,"Liquor Law Violation",203,200
2022,"Motor Vehicle Theft",21472,596
2022,Narcotics,4757,4645
2022,Non-criminal,5,2
2022,Obscenity,48,28
2022,"Offense Involving Children",1905,181
2022,"Other Narcotic Violation",7,3
2022,"Other Offense",14624,2094
2022,Prostitution,283,280
2022,"Public Indecency",5,4
2022,"Public Peace Violation",712,301
2022,Robbery,8967,559
2022,"Sex Offense",1243,106
2022,Stalking,454,28
2022,Theft,54899,2029
2022,"Weapons Violation",8781,5394
2023,Arson,513,58
2023,Assault,22632,2329
2023,Battery,44255,7002
2023,Burglary,7489,446
2023,"Concealed Carry Violation",205,196
2023,"Criminal Damage",30094,942
2023,"Criminal Sexual Assault",1683,104
2023,"Criminal Trespass",4722,1324
2023,"Deceptive Practice",17524,747
2023,Gambling,15,15
2023,Homicide,615,255
2023,"Human Trafficking",11,0
2023,"Interference With Officer",586,512
2023,Intimidation,237,3
2023,Kidnapping,139,4
2023,"Liquor Law Violation",186,182
2023,"Motor Vehicle Theft",29255,788
2023,Narcotics,5455,5323
2023,Non-criminal,3,0
2023,Obscenity,42,23
2023,"Offense Involving Children",1756,183
2023,"Other Narcotic Violation",2,0
2023,"Other Offense",15731,2485
2023,Prostitution,209,198
2023,"Public Indecency",6,5
2023,"Public Peace Violation",862,389
2023,Robbery,11050,668
2023,"Sex Offense",1365,103
2023,Stalking,531,35
2023,Theft,57510,2858
2023,"Weapons Violation",8608,4995
2024,Arson,481,44
2024,Assault,23482,2531
2024,Battery,46146,7903
2024,Burglary,8431,467
2024,"Concealed Carry Violation",196,192
2024,"Criminal Damage",28556,1106
2024,"Criminal Sexual Assault",1615,79
2024,"Criminal Trespass",4951,1431
2024,"Deceptive Practice",16295,537
2024,Gambling,22,22
2024,Homicide,566,220
2024,"Human Trafficking",19,0
2024,"Interference With Officer",691,610
2024,Intimidation,164,7
2024,Kidnapping,97,6
2024,"Liquor Law Violation",196,186
